0.1, -2.3025850930
0.2, -1.6094379124
0.3, -1.2039728043
0.4, -0.9162907320
0.5, -0.6931471805
0.6, -0.5108256237
0.7, -0.3566749438
0.8, -0.2231435512
0.9, -0.1053605155
1.0, 0E-10
1.1, 0.0953101798
1.2, 0.1823215568
1.3, 0.2623642643
1.4, 0.3364722367
1.5, 0.4054651080
1.6, 0.4700036293
1.7, 0.5306282512
1.8, 0.5877866648
1.9, 0.6418538863
2.0, 0.6931471805
2.1, 0.7419373446
2.2, 0.7884573603
2.3, 0.8329091229
2.4, 0.8754687375
2.5, 0.9162907320
2.6, 0.9555114448
2.7, 0.9932517732
2.8, 1.0296194170
2.9, 1.0647107371
3.0, 1.0986122887
3.1, 1.1314021117
3.2, 1.1631508097
3.3, 1.1939224684
3.4, 1.2237754316
3.5, 1.2527629686
3.6, 1.2809338452
3.7, 1.3083328196
3.8, 1.3350010665
3.9, 1.3609765532
4.0, 1.3862943609
4.1, 1.4109869738
4.2, 1.4350845253
4.3, 1.4586150226
4.4, 1.4816045408
4.5, 1.5040773969
4.6, 1.5260563037
4.7, 1.5475625086
4.8, 1.5686159179
4.9, 1.5892352054
5.0, 1.6094379124
